ID,Trees,Trees_Producing,,
H0001,50,,,
H0002,52,50,,
H0003,60,0,,
H0004,70,,,
H0005,80,60,,
H0006,84,200,,
H0007,100,84,,
H0008,100,100,,
H0009,100,50,,
H0010,105,56,,
H0011,105,,,
H0012,110,80,,
H0013,110,100,,
H0014,124,200,,
H0015,150,269,,
H0016,150,200,,
H0017,150,200,,
H0018,150,150,,
H0019,150,0,,
H0020,170,150,,
H0021,175,140,,
H0022,200,200,,
H0023,200,480,,
H0024,200,100,,
H0025,200,200,,
H0026,200,250,,
H0027,200,200,,
H0028,236,,,
H0029,250,100,,
H0030,250,36,,
H0031,250,144,,
H0032,256,150,,
H0033,300,240,,
H0034,300,200,,
H0035,310,450,,
H0036,318,300,,
H0037,350,250,,
H0038,450,150,,
H0039,470,100,,
H0040,500,600,,
H0041,700,560,,
H0042,600,190,,
H0043,1118,1110,,
H0044,2000,1800,,
H0045,50,0,,
H0046,80,100,,
H0047,80,,,
H0048,80,0,,
H0049,100,15,,
H0050,100,0,,
H0051,100,,,
H0052,120,25,,
H0053,120,0,,
H0054,150,80,,
H0055,150,0,,
H0056,150,80,,
H0057,150,150,,
H0058,160,160,,
H0059,180,40,,
H0060,186,60,,
H0061,190,100,,
H0062,200,80,,
H0063,200,,,
H0064,250,0,,
H0065,250,150,,
H0066,250,250,,
H0067,250,120,,
H0068,250,10,,
H0069,260,200,,
H0070,300,200,,
H0071,300,100,,
H0072,320,200,,
H0073,2000,2000,,
H0074,50,80,,
H0075,54,50,,
H0076,60,70,,
H0077,64,10,,
H0078,100,100,,
H0079,105,100,,
H0080,110,20,,
H0081,115,80,,
H0082,120,20,,
H0083,120,0,,
H0084,120,30,,
H0085,120,40,,
H0086,130,100,,
H0087,150,0,,
H0088,100,0,,
H0089,150,40,,
H0090,160,60,,
H0091,180,100,,
H0092,180,100,,
H0093,198,0,,
H0094,200,20,,
H0095,206,206,,
H0096,210,30,,
H0097,210,0,,
H0098,240,240,,
H0099,102,140,,
H0100,280,50,,
H0101,300,50,,
H0102,300,45,,
H0103,300,172,,
H0104,400,0,,
H0105,420,480,,
H0106,450,0,,
H0107,650,180,,
H0108,600,200,,
H0109,80,80,,
H0110,100,100,,
H0111,100,100,,
H0112,142,142,,
H0113,150,130,,
H0114,150,650,,
H0115,160,180,,
H0116,180,160,,
H0117,180,250,,
H0118,180,280,,
H0119,200,200,,
H0120,200,150,,
H0121,200,100,,
H0122,200,180,,
H0123,200,188,,
H0124,205,50,,
H0125,210,,,
H0126,250,250,,
H0127,300,250,,
H0128,340,340,,
H0129,400,340,,
H0130,500,100,,
H0131,500,450,,
H0132,600,560,,
H0133,700,650,,
H0134,800,650,,
H0135,1050,1000,,
H0136,56,56,,
H0137,60,60,,
H0138,100,100,,
H0139,100,60,,
H0140,108,50,,
H0141,110,40,,
H0142,120,50,,
H0143,120,100,,
H0144,120,50,,
H0145,126,140,,
H0146,150,100,,
H0147,150,100,,
H0148,150,100,,
H0149,157,,,
H0150,200,600,,
H0151,200,,,
H0152,250,,,
H0153,250,100,,
H0154,300,200,,
H0155,310,40,,
H0156,327,,,
H0157,350,300,,
H0158,400,200,,
H0159,420,280,,
H0160,430,400,,
H0161,430,0,,
H0162,490,60,,
H0163,150,80,,
H0164,70,50,,
H0165,90,64,,
H0166,100,43,,
H0167,107,100,,
H0168,120,120,,
H0169,120,101,,
H0170,120,120,,
H0171,150,107,,
H0172,150,150,,
H0173,170,123,,
H0174,200,150,,
H0175,200,200,,
H0176,200,100,,
H0177,210,200,,
H0178,214,206,,
H0179,250,250,,
H0180,250,200,,
H0181,250,124,,
H0182,250,202,,
H0183,250,250,,
H0184,295,243,,
H0185,300,,,
H0186,300,80,,
H0187,399,150,,
H0188,400,0,,
H0189,450,400,,
H0190,600,504,,
H0191,670,450,,
H0192,50,40,,
H0193,50,25,,
H0194,50,30,,
H0195,50,20,,
H0196,50,80,,
H0197,52,80,,
H0198,60,10,,
H0199,60,0,,
H0200,78,50,,
H0201,80,60,,
H0202,90,90,,
H0203,90,20,,
H0204,100,100,,
H0205,100,90,,
H0206,100,0,,
H0207,100,100,,
H0208,104,146,,
H0209,200,70,,
H0210,108,100,,
H0211,111,0,,
H0212,120,90,,
H0213,150,240,,
H0214,150,40,,
H0215,150,230,,
H0216,150,80,,
H0217,170,,,
H0218,170,170,,
H0219,200,40,,
H0220,200,150,,
H0221,200,20,,
H0222,200,98,,
H0223,200,60,,
H0224,200,,,
H0225,200,98,,
H0226,200,70,,
H0227,200,100,,
H0228,200,0,,
H0229,225,30,,
H0230,230,30,,
H0231,250,250,,
H0232,250,240,,
H0233,250,80,,
H0234,250,63,,
H0235,300,76,,
H0236,300,50,,
H0237,300,100,,
H0238,400,50,,
H0239,540,108,,
H0240,60,,,
H0241,77,,,
H0242,80,,,
H0243,84,,,
H0245,100,,,
H0246,100,,,
H0247,114,,,
H0248,115,,,
H0249,120,,,
H0250,120,,,
H0251,120,,,
H0253,150,,,
H0254,160,,,
H0255,200,,,
H0256,206,182,,
H0257,220,,,
H0258,222,,,
H0259,250,,,
H0260,254,,,
H0261,300,180,,
H0262,300,,,
H0263,320,,,
H0264,375,,,
H0265,500,,,
H0266,520,,,
H0267,40,40,,
H0268,80,83,,
H0269,100,,,
H0270,100,90,,
H0271,100,60,,
H0272,150,140,,
H0273,150,150,,
H0274,170,60,,
H0275,170,160,,
H0276,180,150,,
H0277,180,230,,
H0278,200,160,,
H0279,200,100,,
H0280,200,145,,
H0281,200,120,,
H0282,210,170,,
H0283,250,,,
H0284,250,250,,
H0285,250,200,,
H0286,256,250,,
H0287,300,284,,
H0288,300,200,,
H0289,320,400,,
H0290,350,300,,
H0291,350,360,,
H0292,400,370,,
H0293,400,50,,
H0294,500,450,,
H0295,500,484,,
